_id,name,alias,approve,price,compare_price,collections,brand,sku,barcode,categories,publish,weight,tax,sort_order,inventory_management,inventory_management_level,inventory_quantity,inventory_allow_out_of_stock,inventory_low_stock_quantity,option_set,shipping_cost,isbn,hsn,sac,upc,product_tax_code,available,created_on,google_product_category,is_catalog,google_product_category,dimension_length,dimension_width,dimension_height,google_shopping_custom_label_0,google_shopping_custom_label_1,google_shopping_custom_label_2,google_shopping_custom_label_3,google_shopping_custom_label_4,related_products,min_limit_to_buy_this_product,max_limit_to_buy_this_product,gtin,mpn,country_of_origin,uom,catalog_only,rejected_reason,cities,zip_codes,location_availability_mode,is_master_catalog,tags,updated_on,option1_name,option1_value,option2_name,option2_value,option3_name,option3_value,tag,file1,file1_description,file2,file2_description,file3,file3_description,substore,seller,metafields_downloadable_link,attributes.Product Title
685502231e6575b864b4245a,Organics Mantra - Almonds Premium - 250 gms,organics-mantra-almonds-premium-250-gms,pending,320,320,,,SKU-8LIGQKGCT,,,0,250,GST,0,automatic,product,10,1,10,,,,,,,,1,FRI JUN 20 2025 12:9:31,,,,,,,,,,,,,,,,,,,,,,,default,,,FRI JUN 20 2025 12:10:26,,,,,,,,,,,,,,,contact@organicsmantra.in,,
685501b8bf4f52c72fc1d2ab,Organics Mantra - Cinnamon stick/ Dalchini Grade 1 - 100 gms,organics-mantra-cinnamon-stick-dalchini-grade-1-100-gms,pending,99,99,,,SKU-VQARO5MDC,,,0,100,GST,0,automatic,product,10,1,10,,,,,,,,1,FRI JUN 20 2025 12:7:44,,,,,,,,,,,,,,,,,,,,,,,default,,,,,,,,,,,,,,,,,,contact@organicsmantra.in,,
6855008359a00a898aeb95a6,Organics Mantra - Kismis (Brown Raisins) - 250 gms,organics-mantra-kismis-brown-raisins-250-gms,pending,128,128,,,SKU-7OZ3FODTM,,,0,250,GST,0,automatic,product,10,1,10,,,,,,,,1,FRI JUN 20 2025 12:2:35,,,,,,,,,,,,,,,,,,,,,,,default,,,,,,,,,,,,,,,,,,contact@organicsmantra.in,,
6854ffdf1e6575b864b416c6,Organics Mantra - Anjeer/ Figs (export quality) - 250gms  Organic,organics-mantra-anjeer-figs-export-quality-250gms-organic,pending,490,490,,,SKU-I3FOZLUZ8,,,0,250,GST,0,automatic,product,10,1,10,,,,,,,,1,FRI JUN 20 2025 11:59:51,,,,,,,,,,,,,,,,,,,,,,,default,,,,,,,,,,,,,,,,,,contact@organicsmantra.in,,
6854ff3e1e6575b864b4158b,Organics Mantra - Clove/ Laung Grade I - 100 grams,organics-mantra-clove-laung-grade-i-100-grams,pending,120,120,,,SKU-THLLLZGK1,,,0,100,GST,0,automatic,product,10,1,10,,,,,,,,1,FRI JUN 20 2025 11:57:10,,,,,,,,,,,,,,,,,,,,,,,default,,,,,,,,,,,,,,,,,,contact@organicsmantra.in,,
6854feaf1e6575b864b414aa,Organics Mantra - Cashew (Whole) - 250 gms,organics-mantra-cashew-whole-250-gms,pending,420,420,,,SKU-C2H8QQ--X,,,0,250,GST,0,automatic,product,10,1,10,,,,,,,,1,FRI JUN 20 2025 11:54:47,,,,,,,,,,,,,,,,,,,,,,,default,,,,,,,,,,,,,,,,,,contact@organicsmantra.in,,
6854fe22bf4f52c72fc1c3a3,Organics Mantra - Pista Plain (without Shell) - 250 grams,organics-mantra-pista-plain-without-shell-250-grams,pending,620,620,,,SKU-_FW6HME-Z,,,0,250,GST,0,automatic,product,10,1,10,,,,,,,,1,FRI JUN 20 2025 11:52:26,,,,,,,,,,,,,,,,,,,,,,,default,,,,,,,,,,,,,,,,,,contact@organicsmantra.in,,
6854fd7d79c924f239f3f4c4,Organics Mantra - Walnut Kernels - 250 grams  All Natural,organics-mantra-walnut-kernels-250-grams-all-natural,pending,420,420,,,SKU-15GKHP4Z2,,,0,250,GST,0,automatic,product,10,1,10,,,,,,,,1,FRI JUN 20 2025 11:49:41,,,,,,,,,,,,,,,,,,,,,,,default,,,FRI JUN 20 2025 12:11:7,,,,,,,,,,,,,,,contact@organicsmantra.in,,
6854fcfd1e6575b864b40f46,Organics Mantra - Black pepper (Powdered) - 100 gms  Organic,organics-mantra-black-pepper-powdered-100-gms-organic,pending,149,149,,,SKU-GHI4-B3RH,,,0,100,GST,0,none,,,,,,,,,,,,1,FRI JUN 20 2025 11:47:33,,,,,,,,,,,,,,,,,,,,,,,default,,,,,,,,,,,,,,,,,,contact@organicsmantra.in,,
6854fc7c79c924f239f3f0a5,Organics Mantra - Black pepper (whole) - 125 grams,organics-mantra-black-pepper-whole-125-grams,pending,129,129,,,SKU-RO9N2IHBI,,,0,125,GST,0,automatic,product,10,1,10,,,,,,,,1,FRI JUN 20 2025 11:45:24,,,,,,,,,,,,,,,,,,,,,,,default,,,,,,,,,,,,,,,,,,contact@organicsmantra.in,,
